target,season,geography,location,horizon,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,config_id,seed
wk inc covid hosp,2025-2026,states_dc,23,0,45,144.52173913043478,27.260869565217394,86.95652173913044,30.304347826086953,199.0,19.0,29.0,32.0,34.0,126.13723617043644,38.671336268981854,68.82575346801242,18.640146433442165,196.34213429983484,19.0,33.0,39.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,23,1,44,155.73217391304348,31.688695652173912,83.8695652173913,40.173913043478265,231.0,16.0,23.0,28.0,33.0,142.4824640013851,47.7446282145784,65.41774216883437,29.32009361797233,226.89979558159968,21.0,32.0,41.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,23,2,43,132.62130434782608,36.66478260869565,59.04347826086956,36.91304347826087,205.0,21.0,31.0,36.0,38.0,154.3722340628179,60.3216328566237,58.95641501320254,35.09418619299167,239.72403460857714,19.0,31.0,39.0,43.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,23,3,42,164.17913043478262,40.26608695652174,64.8695652173913,59.04347826086956,256.0,14.0,22.0,31.0,34.0,171.44436713944745,71.32341931705614,58.12014809959474,42.000799722796586,289.59171106347503,12.0,31.0,40.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,24,0,45,384.0926086956522,116.39695652173913,150.6086956521739,117.08695652173913,577.0,18.0,29.0,34.0,37.0,368.13950404425225,132.43333562005412,112.84548529822042,122.8606831259777,554.0275737004042,24.0,34.0,39.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,24,1,44,433.83478260869566,132.9217391304348,111.82608695652173,189.08695652173913,635.0,16.0,29.0,34.0,36.0,457.6195868079645,183.38461070672133,72.25156250366229,201.98341359758086,706.0095227982081,22.0,33.0,40.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,24,2,43,525.0247826086957,149.9813043478261,114.04347826086956,261.0,772.0,12.0,31.0,34.0,36.0,558.7287573061644,231.5403289670607,62.981569194462956,264.20685914464076,865.3532892030242,21.0,35.0,38.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,24,3,42,639.2191304347826,166.48,129.17391304347825,343.5652173913044,931.0,14.0,27.0,31.0,33.0,680.5423270476498,276.5670909062449,83.88441336695362,320.0908227744512,1048.4900313223452,20.0,31.0,36.0,38.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,25,0,45,461.61695652173916,206.48652173913044,166.65217391304347,88.47826086956522,728.0,25.0,35.0,39.0,42.0,532.1546309275843,207.64714490121673,174.6999735631537,149.8075124632139,841.2811496987172,20.0,33.0,40.0,43.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,25,1,44,612.7908695652173,234.35608695652175,187.69565217391303,190.7391304347826,982.0,19.0,33.0,40.0,42.0,776.4070986497336,291.1608459842928,204.88554071481187,280.36071195062897,1210.4283009984272,22.0,34.0,39.0,40.0,B1 B gap-only,43
